Key,Value_Length,Write_Duration
lorem_370,2736,0.0007407665252685547
lorem_375,2778,0.0006921291351318359
lorem_380,2826,0.0007729530334472656
lorem_385,2868,0.0006520748138427734
lorem_390,2913,0.000659942626953125
lorem_395,2944,0.00067901611328125
lorem_400,2992,0.0006928443908691406
lorem_405,2990,0.0006866455078125
lorem_410,3066,0.0006730556488037109
lorem_415,3089,0.0006849765777587891
lorem_420,3087,0.0006959438323974609
lorem_425,3138,0.0007119178771972656
lorem_430,3213,0.000675201416015625
lorem_435,3235,0.0006680488586425781
lorem_440,3289,0.0006680488586425781
lorem_445,3290,0.0007250308990478516
lorem_450,3347,0.0006940364837646484
lorem_455,3386,0.0007090568542480469
lorem_460,3447,0.0007150173187255859
lorem_465,3465,0.0007090568542480469
lorem_470,3502,0.0007321834564208984
lorem_475,3520,0.0007059574127197266
lorem_480,3550,0.0007240772247314453
lorem_485,3580,0.0007169246673583984
lorem_490,3680,0.0007100105285644531
lorem_495,3660,0.0006933212280273438
lorem_500,3717,0.0006859302520751953
lorem_505,3749,0.0007202625274658203
lorem_510,3804,0.0006921291351318359
lorem_515,3821,0.0007002353668212891
lorem_520,3876,0.0006768703460693359
lorem_525,3892,0.0006771087646484375
lorem_530,3934,0.0006968975067138672
lorem_535,3960,0.0007059574127197266
lorem_540,4012,0.0007271766662597656
lorem_545,4044,0.0007352828979492188
lorem_550,4084,0.0007312297821044922
lorem_555,4120,0.0007197856903076172
lorem_560,4172,0.0007500648498535156
lorem_565,4192,0.0007736682891845703
lorem_570,4219,0.0007231235504150391
lorem_575,4254,0.0007028579711914062
lorem_580,4306,0.0007300376892089844
lorem_585,4352,0.0006902217864990234
lorem_590,4367,0.0007040500640869141
lorem_595,4413,0.0007219314575195312
lorem_600,4453,0.0006992816925048828
lorem_605,4504,0.00067901611328125
lorem_610,4526,0.0006699562072753906
lorem_615,4563,0.0007140636444091797
lorem_620,4620,0.0006718635559082031
lorem_625,4628,0.000701904296875
lorem_630,4655,0.0007159709930419922
lorem_635,4743,0.0006930828094482422
lorem_640,4764,0.0006940364837646484
lorem_645,4798,0.0006690025329589844
lorem_650,4830,0.0006811618804931641
lorem_655,4840,0.0006861686706542969
lorem_660,4923,0.0006949901580810547
lorem_665,4935,0.0007228851318359375
lorem_670,4970,0.0007500648498535156
lorem_675,5012,0.0007340908050537109
lorem_680,5071,0.0007128715515136719
lorem_685,5092,0.0006999969482421875
lorem_690,5101,0.0006959438323974609
lorem_695,5154,0.0006933212280273438
lorem_700,5195,0.000701904296875
lorem_705,5242,0.0007128715515136719
lorem_710,5259,0.0007109642028808594
lorem_715,5301,0.0007212162017822266
lorem_720,5354,0.0006928443908691406
lorem_725,5374,0.0007028579711914062
lorem_730,5420,0.0006909370422363281
lorem_735,5451,0.0007500648498535156
lorem_740,5479,0.0007009506225585938
lorem_745,5546,0.0006959438323974609
lorem_750,5555,0.0007159709930419922
lorem_755,5611,0.0007030963897705078
lorem_760,5631,0.0006909370422363281
lorem_765,5715,0.0006849765777587891
lorem_770,5706,0.0006911754608154297
lorem_775,5746,0.0006902217864990234
lorem_780,5794,0.0006961822509765625
lorem_785,5814,0.0007169246673583984
lorem_790,5885,0.0007259845733642578
lorem_795,5918,0.0006940364837646484
lorem_800,5941,0.0006749629974365234
lorem_805,5964,0.0006921291351318359
lorem_810,6005,0.0007112026214599609
lorem_815,6043,0.0007328987121582031
lorem_820,6101,0.0007081031799316406
lorem_825,6117,0.0007281303405761719
lorem_830,6196,0.0007150173187255859
lorem_835,6196,0.0007200241088867188
lorem_840,6250,0.0006771087646484375
lorem_845,6273,0.0006971359252929688
lorem_850,6300,0.0007131099700927734
lorem_855,6325,0.0007097721099853516
lorem_860,6393,0.0007169246673583984
lorem_865,6435,0.0006947517395019531
lorem_870,6448,0.0007169246673583984
lorem_875,6485,0.0006780624389648438
lorem_880,6513,0.0006952285766601562
lorem_885,6572,0.0007090568542480469
lorem_890,6606,0.0007088184356689453
lorem_895,6653,0.0007500648498535156
lorem_900,6674,0.000698089599609375
lorem_905,6716,0.0007219314575195312
lorem_910,6754,0.0007119178771972656
lorem_915,6784,0.0006818771362304688
lorem_920,6828,0.000698089599609375
lorem_925,6862,0.000701904296875
lorem_930,6890,0.0007128715515136719
lorem_935,6958,0.0007119178771972656
lorem_940,6974,0.0007240772247314453
lorem_945,7029,0.0007109642028808594
lorem_950,7043,0.0006968975067138672
lorem_955,7119,0.0007009506225585938
lorem_960,7116,0.0007078647613525391
lorem_965,7144,0.0006940364837646484
lorem_970,7195,0.0006883144378662109
lorem_975,7262,0.0007340908050537109
lorem_980,7249,0.0007278919219970703
lorem_985,7297,0.0006892681121826172
lorem_990,7384,0.0007047653198242188
lorem_995,7380,0.0007078647613525391
lorem_0,0,0.0029952526092529297
lorem_5,38,0.0030090808868408203
lorem_10,79,0.001967191696166992
lorem_15,106,0.0012850761413574219
lorem_20,148,0.0012798309326171875
lorem_25,188,0.0011420249938964844
lorem_30,222,0.0011408329010009766
lorem_35,267,0.0010912418365478516
lorem_40,295,0.0010819435119628906
lorem_45,340,0.0010530948638916016
lorem_50,369,0.0009307861328125
lorem_55,408,0.0009777545928955078
lorem_60,471,0.0009570121765136719
lorem_65,464,0.0009181499481201172
lorem_70,496,0.0010869503021240234
lorem_75,548,0.0009920597076416016
lorem_80,576,0.0009701251983642578
lorem_85,601,0.0009360313415527344
lorem_90,684,0.00092315673828125
lorem_95,694,0.0009601116180419922
lorem_100,740,0.0008597373962402344
lorem_105,777,0.0008761882781982422
lorem_110,817,0.0008409023284912109
lorem_115,848,0.0008459091186523438
lorem_120,924,0.0008580684661865234
lorem_125,936,0.0008308887481689453
lorem_130,959,0.0008230209350585938
lorem_135,990,0.0008270740509033203
lorem_140,1027,0.0008358955383300781
lorem_145,1074,0.000823974609375
lorem_150,1132,0.0007729530334472656
lorem_155,1153,0.0007829666137695312
lorem_160,1185,0.0007920265197753906
